Player ID,Exchange,Exchange Amount,Cards Before 1,Cards Before 2,Cards Before 3,Cards Before 4,Cards Before 5,Card Exchanged 1,Card Exchanged 2,Card Exchanged 3,Win
Nick,['t'],3,11,11,6,7,9,6,7,9,True
Adam,['t'],2,2,2,4,8,11,4,8,,False
Nick,['t'],2,11,11,1,7,9,1,7,,True
Adam,['t'],3,11,11,2,3,7,2,3,7,False
Nick,['n'],0,1,1,4,8,13,0,0,0,False
Adam,['t'],2,7,7,2,4,9,2,4,,True
Nick,['n'],0,4,4,2,10,12,0,0,0,False
Adam,['t'],2,9,9,2,11,13,2,11,,True
Nick,['t'],3,12,12,3,5,8,3,5,8,True
Adam,['t'],2,3,3,6,10,11,6,10,,False
Nick,['t'],2,7,7,4,9,11,4,9,,False
Adam,['t'],3,5,5,2,3,8,2,3,8,True
Nick,['t'],2,1,1,5,9,12,5,9,,True
Adam,['n'],0,7,7,3,8,13,0,0,0,False
Nick,['t'],3,9,9,1,5,7,1,5,7,False
Adam,['t'],3,4,4,1,5,12,1,5,12,True
Nick,['t'],3,9,9,10,12,13,10,12,13,True
